session,n_cells,n_native_TR,ca_corr,ca_nrmse,vascular_corr,vascular_nrmse,motion_corr,motion_nrmse,ca_vascular_corr,ca_vascular_nrmse,local_corr,local_nrmse,shift_null_corr
d03112022_bi1640,7,121,0.13766991544829793,1.1861687867442825,0.09383438592741587,1.2751652396511823,0.3754448461376302,1.0131342431346801,0.2886843451135998,1.1893936017920035,0.36509141139216605,1.1298750581664427,0.29511961854345403
d03112022_bi2020,5,119,-0.37586527372443035,1.1915815808278791,0.47797173756575057,1.0108235461801585,0.3617448777536805,1.3968609958534215,0.373776970912003,1.0227342686962007,0.3267997794930773,1.3491880389302708,0.10554371373977331
d04112022_bi1809,41,119,-0.01852680933258652,1.11639004752652,-0.24053168796408383,1.2228221088979527,-0.12657122309187305,1.0895971753533478,-0.10219500780391781,1.2585171958271826,-0.14005773800161708,1.289969537214628,0.03685456517941631
d04112022_bi1929,45,119,0.174129539071751,1.598929389837393,0.01847440095125888,1.099517724143175,0.2711640438582462,1.2288993261724497,0.1040680462556379,1.5910061579165666,0.11025629415389857,1.5886307611991488,0.142773969331785
d04112022_bi2022,47,120,0.5966196634969527,0.8733331459037542,-0.09545086676030912,1.1136154964010867,0.04814693894140656,1.1143485670372069,0.5921825851319716,0.8989738145399684,0.6067622637863828,0.9370388984926304,0.03499332230415177
d06112022_bi2021,70,119,0.011961673974544756,1.2015390319286012,0.10034679273095701,1.1020190731214576,0.44570331307283784,0.9979395476049472,0.1753340635433186,1.2787805802979757,0.24792581458634216,1.2140487825363682,0.1359471000650578
d10112024_bi6431,33,104,0.16881650109720162,1.0719272096967771,0.019688125751771403,1.1484170003504788,0.19942263896717746,1.0288003458512587,0.026480795097433153,1.1839339705347454,0.004552383216238043,1.167863976457563,0.049537355850262685
d14112024_bi6542,21,106,0.42574456754084117,1.0736923615960747,0.15620262285307626,1.339607621574605,0.40158524901419657,1.1642305681449046,0.3354164644361276,1.291645511122721,0.2877184603375337,1.4188023038748132,0.26187479867502084
d18112024_bi6530,10,107,0.40360457230570673,1.2405021777376402,-0.040423678573847745,1.1743562292341931,0.7726659841956505,1.3299273488750347,0.3230150204403682,1.2766423410756225,0.6550528074639927,1.22719560185766,0.5342686851842366
